year,condition,length_ft,beam_ft,dryWeight_lb,numEngines,totalHP,price
2019,0,25,8.5,5100,1,300,618
2019,1,25,8.5,5100,1,300,618
2019,1,25,8.5,5100,1,300,634
2008,1,9.33,5.25,86,1,8,1286
1982,1,25,8.17,4007,1,9.9,1500
2019,0,14,5.83,365,1,25,1999
2007,1,14,5.83,260,1,25,3995
1984,1,16,8,1000,1,90,3999
1986,1,30,11,9800,2,520,4900
2012,1,10.75,3.83,745,1,110,4995
1987,1,20.4,8,2400,1,230,5095
2019,0,9.17,3.83,405,1,60,5399
1988,1,20.83,8,2944,1,190,5495
2011,1,10,4.08,732,1,130,5500
1963,1,25,7,5070,1,9.9,5900
2000,1,17.92,7.5,1865,1,210,5900
2004,1,14,6,640,1,25,5995
2009,1,10.83,4,804,1,255,5999
2015,1,13.83,5.83,440,1,20,6295
2006,1,15.7,5.33,330,1,40,6337.85
2003,1,17.07,6.08,800,1,90,6495
2007,1,18,7.58,2235,1,135,6500
1984,1,27,8,5440,1,260,6500
2018,0,10,3.83,421,1,90,6599
1996,1,20.17,7.33,2610,1,150,6900
2006,1,16.17,6.83,1145,1,75,6950
2015,1,11.05,4.08,790,1,130,6950
2011,1,16.17,5.83,675,1,20,6990
2019,0,14,5.67,185,1,20,6995
2001,1,18.5,7.5,2650,1,135,7000
1989,1,30,11,9800,2,520,7000
2018,0,10.25,3.58,584,1,100,7099
1986,1,27,8,5400,1,260,7490
2000,1,17.42,7.17,1225,1,150,7500
2005,1,16.17,6.33,660,1,60,7595
2019,0,10.33,3.75,584,1,100,7799
1979,1,25,9.33,4800,1,225,7900
2004,1,17,7.33,2050,1,135,7995
2019,0,9,3.67,422,1,90,8049
2019,0,9.17,3.83,422,1,90,8049
2019,0,10,4.17,421,1,90,8149
2017,1,11.05,4,640,1,155,8338
1999,1,22,7.67,2050,1,115,8495
1998,1,19,6.67,1950,1,270,8595
2016,1,11.05,4.08,799,1,215,8699
2005,1,17.58,7,1900,1,135,8750
2018,0,10.25,3.58,599,1,100,8799
2019,0,10.33,3.75,600,1,100,8799
2019,0,10.33,3.75,600,1,100,8799
2016,1,11.05,4.08,799,1,215,8899
2015,0,16,6,600,1,25,8995
2003,1,15.33,8.5,1580,1,60,8995
2008,1,17,7.33,1054,1,75,8995
1986,1,17,7,1050,1,115,8995
2019,0,11.1,4.08,718,1,130,9167
2015,1,11.05,4,765,1,155,9200
2007,1,17.5,7,2100,1,135,9295
2017,0,16.33,6,655,1,25,9297
2016,0,16,6.17,708,1,25,9442
1999,1,18,8,1950,1,150,9499
1977,1,29,9.42,8500,1,30,9500
2008,1,13,5.92,600,1,40,9500
2001,1,21,8.5,2500,1,150,9700
1985,1,27,8.83,6850,1,17,9900
1976,1,34,11.5,22000,1,50,9900
1975,1,28,10.25,8100,2,460,9900
2019,0,11.1,4.08,790,1,130,9915
2019,0,11.1,4.08,790,1,130,9915
2002,1,13.25,5.92,600,1,25,9995
2013,1,16,6.5,1250,1,60,9995
1988,1,18,7.5,2120,1,175,9995
1992,1,20,7.58,2500,1,175,9995
